Amp, Phaseshift, Time, Vd, Vr, VL, VC
0.405435,372.09,1.09924e-005,-2.94686,-0.651702,-4.62278,2.10411
0.405435,372.09,1.1145e-005,-2.97634,-0.685509,-4.42875,1.90512
0.405435,372.09,1.12977e-005,-2.99408,-0.717675,-4.21369,1.6958
0.405435,372.09,1.14504e-005,-3,-0.748042,-3.97813,1.47667
0.405435,372.09,1.16031e-005,-2.99408,-0.77646,-3.7227,1.24826
0.405435,372.09,1.17557e-005,-2.97634,-0.802782,-3.44814,1.01117
0.405435,372.09,1.19084e-005,-2.94686,-0.826867,-3.15525,0.766045
0.405435,372.09,1.20611e-005,-2.90575,-0.848584,-2.84493,0.513566
0.405435,372.09,1.22137e-005,-2.85317,-0.867807,-2.51815,0.254456
0.405435,372.09,1.23664e-005,-2.78933,-0.884417,-2.17598,-0.0105229
0.405435,372.09,1.25191e-005,-2.71448,-0.898307,-1.81954,-0.280574
0.405435,372.09,1.26718e-005,-2.62892,-0.909376,-1.45004,-0.554866
0.405435,372.09,1.28244e-005,-2.53298,-0.917534,-1.06874,-0.832538
0.405435,372.09,1.29771e-005,-2.42705,-0.922702,-0.676978,-1.1127
0.405435,372.09,1.31298e-005,-2.31154,-0.92481,-0.276136,-1.39444
0.405435,372.09,1.32824e-005,-2.18691,-0.9238,0.132347,-1.67683
0.405435,372.09,1.34351e-005,-2.05364,-0.919624,0.546986,-1.9589
0.405435,372.09,1.35878e-005,-1.91227,-0.912248,0.966256,-2.23971
0.405435,372.09,1.37405e-005,-1.76336,-0.901648,1.3886,-2.51825
0.405435,372.09,1.38931e-005,-1.60748,-0.887813,1.81242,-2.79357
0.405435,372.09,1.40458e-005,-1.44526,-0.870743,2.23612,-3.06465
0.405435,372.09,1.41985e-005,-1.27734,-0.850453,2.65806,-3.33053
0.405435,372.09,1.43511e-005,-1.10437,-0.826967,3.07661,-3.59021
0.405435,372.09,1.45038e-005,-0.927051,-0.800325,3.49013,-3.84272
0.405435,372.09,1.46565e-005,-0.74607,-0.770577,3.89698,-4.08709
0.405435,372.09,1.48092e-005,-0.562144,-0.737787,4.29553,-4.32238
0.405435,372.09,1.49618e-005,-0.376,-0.70203,4.68417,-4.54766
0.405435,372.09,1.51145e-005,-0.188372,-0.663394,5.06132,-4.76202
0.405435,372.09,1.52672e-005,-7.34764e-016,-0.621979,5.42542,-4.96459
0.405435,372.09,1.54198e-005,0.188372,-0.577895,5.77494,-5.1545
0.405435,372.09,1.55725e-005,0.376,-0.531266,6.1084,-5.33096
0.405435,372.09,1.57252e-005,0.562144,-0.482225,6.42437,-5.49318
0.405435,372.09,1.58779e-005,0.74607,-0.430916,6.72147,-5.64042
0.405435,372.09,1.60305e-005,0.927051,-0.377493,6.99839,-5.772
0.405435,372.09,1.61832e-005,1.10437,-0.32212,7.25387,-5.88727
0.405435,372.09,1.63359e-005,1.27734,-0.26497,7.48672,-5.98562
0.405435,372.09,1.64885e-005,1.44526,-0.206223,7.69585,-6.06653
0.405435,372.09,1.66412e-005,1.60748,-0.146068,7.88023,-6.1295
0.405435,372.09,1.67939e-005,1.76336,-0.0847024,8.03892,-6.1741
0.405435,372.09,1.69466e-005,1.91227,-0.0223278,8.17107,-6.19996
0.405435,372.09,1.70992e-005,2.05364,0.0408472,8.27593,-6.20678
0.405435,372.09,1.72519e-005,2.18691,0.104609,8.35284,-6.19431
0.405435,372.09,1.74046e-005,2.31154,0.168741,8.40124,-6.16237
0.405435,372.09,1.75573e-005,2.42705,0.233021,8.42068,-6.11084
0.405435,372.09,1.77099e-005,2.53298,0.297226,8.4108,-6.03969
0.405435,372.09,1.78626e-005,2.62892,0.361129,8.37139,-5.94893
0.405435,372.09,1.80153e-005,2.71448,0.424505,8.30229,-5.83867
0.405435,372.09,1.81679e-005,2.78933,0.487128,8.20349,-5.70905
0.405435,372.09,1.83206e-005,2.85317,0.548769,8.07509,-5.56031
0.405435,372.09,1.84733e-005,2.90575,0.609207,7.91729,-5.39274
0.405435,372.09,1.8626e-005,2.94686,0.668217,7.7304,-5.20672
0.405435,372.09,1.87786e-005,2.97634,0.725583,7.51485,-5.00269
0.405435,372.09,1.89313e-005,2.99408,0.781088,7.27119,-4.78114
0.405435,372.09,1.9084e-005,3,0.834523,7.00005,-4.54264
0.405435,372.09,1.92366e-005,2.99408,0.885685,6.70219,-4.28782
0.405435,372.09,1.93893e-005,2.97634,0.934376,6.37848,-4.01738
0.405435,372.09,1.9542e-005,2.94686,0.980405,6.02987,-3.73208
0.405435,372.09,1.96947e-005,2.90575,1.02359,5.65742,-3.43272
0.405435,372.09,1.98473e-005,2.85317,1.06376,5.26229,-3.12017
0.405435,372.09,2e-005,2.78933,1.10075,4.84574,-2.79536
0.405435,372.09,2.01527e-005,2.71448,1.13441,4.40908,-2.45925
0.405435,372.09,2.03053e-005,2.62892,1.16459,3.95376,-2.11286
0.405435,372.09,2.0458e-005,2.53298,1.19117,3.48126,-1.75726
0.405435,372.09,2.06107e-005,2.42705,1.21401,2.99315,-1.39355
0.405435,372.09,2.07634e-005,2.31154,1.23303,2.49108,-1.02286
0.405435,372.09,2.0916e-005,2.18691,1.24812,1.97673,-0.64636
0.405435,372.09,2.10687e-005,2.05364,1.2592,1.45188,-0.265255
0.405435,372.09,2.12214e-005,1.91227,1.26621,0.918325,0.119234
0.405435,372.09,2.1374e-005,1.76336,1.2691,0.377909,0.505864
0.405435,372.09,2.15267e-005,1.60748,1.26782,-0.167481,0.893374
0.405435,372.09,2.16794e-005,1.44526,1.26235,-0.715932,1.28049
0.405435,372.09,2.18321e-005,1.27734,1.25269,-1.26551,1.66595
0.405435,372.09,2.19847e-005,1.10437,1.23884,-1.81427,2.04845
0.405435,372.09,2.21374e-005,0.927051,1.22083,-2.36024,2.42672
0.405435,372.09,2.22901e-005,0.74607,1.19868,-2.90148,2.79949
0.405435,372.09,2.24427e-005,0.562144,1.17245,-3.43603,3.1655
0.405435,372.09,2.25954e-005,0.376,1.1422,-3.96195,3.5235
0.405435,372.09,2.27481e-005,0.188372,1.10803,-4.47733,3.87227
0.405435,372.09,2.29008e-005,1.10215e-015,1.07001,-4.98029,4.21059
0.405435,372.09,2.30534e-005,-0.188372,1.02826,-5.46898,4.53731
0.405435,372.09,2.32061e-005,-0.376,0.982906,-5.94158,4.85129
0.405435,372.09,2.33588e-005,-0.562144,0.934079,-6.39634,5.15141
0.405435,372.09,2.35115e-005,-0.74607,0.88193,-6.83156,5.43663
0.405435,372.09,2.36641e-005,-0.927051,0.82662,-7.24561,5.70592
0.405435,372.09,2.38168e-005,-1.10437,0.768323,-7.63691,5.95832
0.405435,372.09,2.39695e-005,-1.27734,0.707223,-8.00398,6.19292
0.405435,372.09,2.41221e-005,-1.44526,0.643518,-8.34541,6.40887
0.405435,372.09,2.42748e-005,-1.60748,0.577412,-8.65987,6.60536
0.405435,372.09,2.44275e-005,-1.76336,0.509121,-8.94613,6.78167
0.405435,372.09,2.45802e-005,-1.91227,0.438869,-9.20307,6.93713
0.405435,372.09,2.47328e-005,-2.05364,0.366887,-9.42964,7.07113
0.405435,372.09,2.48855e-005,-2.18691,0.293414,-9.62493,7.18316
0.405435,372.09,2.50382e-005,-2.31154,0.218696,-9.78812,7.27275
0.405435,372.09,2.51908e-005,-2.42705,0.142982,-9.9185,7.33953
0.405435,372.09,2.53435e-005,-2.53298,0.0665277,-10.0155,7.38319
0.405435,372.09,2.54962e-005,-2.62892,-0.0104085,-10.0786,7.4035
0.405435,372.09,2.56489e-005,-2.71448,-0.0875656,-10.1076,7.40033
0.405435,372.09,2.58015e-005,-2.78933,-0.164681,-10.1021,7.37359
0.405435,372.09,2.59542e-005,-2.85317,-0.24149,-10.0621,7.3233
0.405435,372.09,2.61069e-005,-2.90575,-0.317731,-9.98756,7.24957
0.405435,372.09,2.62595e-005,-2.94686,-0.393141,-9.8787,7.15255
0.405435,372.09,2.64122e-005,-2.97634,-0.46746,-9.73575,7.03251
0.405435,372.09,2.65649e-005,-2.99408,-0.54043,-9.55913,6.88977
0.405435,372.09,2.67176e-005,-3,-0.611799,-9.34934,6.72475
0.405435,372.09,2.68702e-005,-2.99408,-0.681319,-9.10703,6.53794
0.405435,372.09,2.70229e-005,-2.97634,-0.748746,-8.83297,6.32991
0.405435,372.09,2.71756e-005,-2.94686,-0.813845,-8.52802,6.10128
0.405435,372.09,2.73282e-005,-2.90575,-0.876389,-8.19319,5.85278
0.405435,372.09,2.74809e-005,-2.85317,-0.936156,-7.82956,5.58518
0.405435,372.09,2.76336e-005,-2.78933,-0.992938,-7.43835,5.29933
0.405435,372.09,2.77863e-005,-2.71448,-1.04653,-7.02087,4.99614
0.405435,372.09,2.79389e-005,-2.62892,-1.09675,-6.57853,4.67659
0.405435,372.09,2.80916e-005,-2.53298,-1.14341,-6.11283,4.34171
0.405435,372.09,2.82443e-005,-2.42705,-1.18635,-5.62534,3.99257
0.405435,372.09,2.83969e-005,-2.31154,-1.22542,-5.11776,3.63033
0.405435,372.09,2.85496e-005,-2.18691,-1.26047,-4.59181,3.25615
0.405435,372.09,2.87023e-005,-2.05364,-1.29138,-4.04932,2.87128
0.405435,372.09,2.8855e-005,-1.91227,-1.31804,-3.49216,2.47696
0.405435,372.09,2.90076e-005,-1.76336,-1.34035,-2.92227,2.0745
0.405435,372.09,2.91603e-005,-1.60748,-1.35822,-2.34164,1.66524
0.405435,372.09,2.9313e-005,-1.44526,-1.3716,-1.75227,1.25051
0.405435,372.09,2.94656e-005,-1.27734,-1.38043,-1.15625,0.831703
0.405435,372.09,2.96183e-005,-1.10437,-1.38467,-0.55565,0.410199
0.405435,372.09,2.9771e-005,-0.927051,-1.38431,0.0474189,-0.012601
0.405435,372.09,2.99237e-005,-0.74607,-1.37934,0.650838,-0.43529
0.405435,372.09,3.00763e-005,-0.562144,-1.36978,1.25248,-0.856462
0.405435,372.09,3.0229e-005,-0.376,-1.35565,1.85024,-1.27471
0.405435,372.09,3.03817e-005,-0.188372,-1.33701,2.442,-1.68865
0.405435,372.09,3.05344e-005,-1.46953e-015,-1.31392,3.02567,-2.0969
0.405435,372.09,3.0687e-005,0.188372,-1.28644,3.59919,-2.4981
0.405435,372.09,3.08397e-005,0.376,-1.25468,4.16054,-2.8909
0.405435,372.09,3.09924e-005,0.562144,-1.21874,4.70773,-3.27401
0.405435,372.09,3.1145e-005,0.74607,-1.17875,5.23883,-3.64615
0.405435,372.09,3.12977e-005,0.927051,-1.13484,5.75195,-4.00607
0.405435,372.09,3.14504e-005,1.10437,-1.08717,6.24529,-4.35259
0.405435,372.09,3.16031e-005,1.27734,-1.0359,6.7171,-4.68455
0.405435,372.09,3.17557e-005,1.44526,-0.981195,7.16571,-5.00086
